field,orilevel,newlevel
purpose,1,work
purpose,2,shop
purpose,3,business
purpose,4,leisure
purpose,5,return_work
purpose,6,return_shop
purpose,7,return_business
purpose,8,return_leisure
purpose,9,other
tickettype,0,none
tickettype,1,twoway_disc
tickettype,2,oneway_disc
tickettype,3,twoway
tickettype,4,oneway
tickettype,5,half_day
tickettype,6,annual
tickettype,7,annual_disc
tickettype,8,free_after_7
tickettype,9,group
tickettype,10,other
whopaid,0,unknown
whopaid,1,self
whopaid,2,employer
whopaid,3,mixed
luggage,0,none
luggage,1,one
luggage,3,several
age,1,less_than_25
age,2,25_to_39
age,3,40_to_54
age,4,55_to_65
age,5,more_than_65
age,6,unknown
income,0,less_than_50K_1
income,1,less_than_50K_2
income,2,50K_to_100K
income,3,more_than_100K
income,4,unknown
oricanton,1,ZH
oricanton,2,BE
oricanton,3,LU
oricanton,4,UR
oricanton,5,SZ
oricanton,6,OW
oricanton,7,NW
oricanton,8,GL
oricanton,9,ZG
oricanton,10,FR
oricanton,11,SO
oricanton,12,BS
oricanton,13,BL
oricanton,14,Schaffhausen
oricanton,15,AR
oricanton,16,AI
oricanton,17,SG
oricanton,18,GR
oricanton,19,AG
oricanton,20,TH
oricanton,21,TI
oricanton,22,VD
oricanton,23,VS
oricanton,24,NE
oricanton,25,GE
oricanton,26,JU
descanton,1,ZH
descanton,2,BE
descanton,3,LU
descanton,4,UR
descanton,5,SZ
descanton,6,OW
descanton,7,NW
descanton,8,GL
descanton,9,ZG
descanton,10,FR
descanton,11,SO
descanton,12,BS
descanton,13,BL
descanton,14,Schaffhausen
descanton,15,AR
descanton,16,AI
descanton,17,SG
descanton,18,GR
descanton,19,AG
descanton,20,TH
descanton,21,TI
descanton,22,VD
descanton,23,VS
descanton,24,NE
descanton,25,GE
descanton,26,JU
