chid,pid,purpose,firstclass,tickettype,whopaid,luggage,age,male,income,seasonalticket,oricanton,descanton,CO,HE,seats,TT,alt,match
1,1,1,0,1,1,0,3,0,2,0,2,1,0.48,1.2,0,1.12,0,0
1,1,1,0,1,1,0,3,0,2,0,2,1,0.52,0.2,2,0.63,1,1
1,1,1,0,1,1,0,3,0,2,0,2,1,0.65,0,0,1.17,2,0
2,1,1,0,1,1,0,3,0,2,0,2,1,0.48,0.3,0,1.03,0,0
2,1,1,0,1,1,0,3,0,2,0,2,1,0.49,0.1,2,0.6,1,1
2,1,1,0,1,1,0,3,0,2,0,2,1,0.84,0,0,1.17,2,0
3,1,1,0,1,1,0,3,0,2,0,2,1,0.48,0.6,0,1.3,0,0
3,1,1,0,1,1,0,3,0,2,0,2,1,0.58,0.3,2,0.67,1,1
3,1,1,0,1,1,0,3,0,2,0,2,1,0.52,0,0,1.17,2,0
4,1,1,0,1,1,0,3,0,2,0,2,1,0.4,0.3,0,1.03,0,0
4,1,1,0,1,1,0,3,0,2,0,2,1,0.52,0.2,2,0.63,1,1
4,1,1,0,1,1,0,3,0,2,0,2,1,0.52,0,0,0.72,2,0
5,1,1,0,1,1,0,3,0,2,0,2,1,0.36,0.6,0,1.3,0,0
5,1,1,0,1,1,0,3,0,2,0,2,1,0.42,0.2,2,0.63,1,1
5,1,1,0,1,1,0,3,0,2,0,2,1,0.84,0,0,0.9,2,0
6,1,1,0,1,1,0,3,0,2,0,2,1,0.36,1.2,0,1.12,0,0
6,1,1,0,1,1,0,3,0,2,0,2,1,0.49,0.1,2,0.6,1,1
6,1,1,0,1,1,0,3,0,2,0,2,1,0.52,0,0,0.9,2,0
7,1,1,0,1,1,0,3,0,2,0,2,1,0.48,1.2,0,1.03,0,0
7,1,1,0,1,1,0,3,0,2,0,2,1,0.58,0.1,2,0.67,1,1
7,1,1,0,1,1,0,3,0,2,0,2,1,0.65,0,0,0.72,2,0
8,1,1,0,1,1,0,3,0,2,0,2,1,0.36,0.3,0,1.03,0,1
8,1,1,0,1,1,0,3,0,2,0,2,1,0.43,0.3,2,0.67,1,0
8,1,1,0,1,1,0,3,0,2,0,2,1,0.65,0,0,0.9,2,0
9,1,1,0,1,1,0,3,0,2,0,2,1,0.4,0.6,0,1.3,0,0
9,1,1,0,1,1,0,3,0,2,0,2,1,0.46,0.1,2,0.6,1,1
9,1,1,0,1,1,0,3,0,2,0,2,1,0.65,0,0,0.72,2,0
10,3,1,0,1,1,1,2,1,2,0,10,25,0.32,0.3,0,0.58,0,0
