chid,pid,purpose,firstclass,tickettype,whopaid,luggage,age,male,income,seasonalticket,oricanton,descanton,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
1,1,1,0,1,1,0,3,0,2,0,2,1,112,48,120,63,52,20,0,117,65,2
2,1,1,0,1,1,0,3,0,2,0,2,1,103,48,30,60,49,10,0,117,84,2
3,1,1,0,1,1,0,3,0,2,0,2,1,130,48,60,67,58,30,0,117,52,2
4,1,1,0,1,1,0,3,0,2,0,2,1,103,40,30,63,52,20,0,72,52,2
5,1,1,0,1,1,0,3,0,2,0,2,1,130,36,60,63,42,20,0,90,84,2
6,1,1,0,1,1,0,3,0,2,0,2,1,112,36,120,60,49,10,0,90,52,2
7,1,1,0,1,1,0,3,0,2,0,2,1,103,48,120,67,58,10,0,72,65,2
8,1,1,0,1,1,0,3,0,2,0,2,1,103,36,30,67,43,30,0,90,65,1
9,1,1,0,1,1,0,3,0,2,0,2,1,130,40,60,60,46,10,0,72,65,2
10,3,1,0,1,1,1,2,1,2,0,10,25,58,32,30,29,35,10,0,105,40,2
11,3,1,0,1,1,1,2,1,2,0,10,25,58,29,30,25,38,20,0,136,50,2
12,3,1,0,1,1,1,2,1,2,0,10,25,58,32,120,27,40,10,1,136,65,2
13,3,1,0,1,1,1,2,1,2,0,10,25,47,29,60,25,38,30,1,84,65,2
14,3,1,0,1,1,1,2,1,2,0,10,25,51,32,30,25,36,30,1,136,40,2
15,3,1,0,1,1,1,2,1,2,0,10,25,51,38,60,25,42,20,0,84,40,2
16,3,1,0,1,1,1,2,1,2,0,10,25,51,29,30,27,32,10,1,84,50,2
17,3,1,0,1,1,1,2,1,2,0,10,25,51,32,60,27,40,30,0,105,50,2
18,3,1,0,1,1,1,2,1,2,0,10,25,58,38,30,27,42,30,0,84,65,2
19,4,1,0,1,1,1,2,1,3,0,19,2,138,40,30,65,45,10,0,135,80,2
20,4,1,0,1,1,1,2,1,3,0,19,2,138,40,120,61,52,10,1,175,130,2
21,4,1,0,1,1,1,2,1,3,0,19,2,138,36,30,58,49,20,0,175,100,2
22,4,1,0,1,1,1,2,1,3,0,19,2,105,36,60,58,49,30,1,108,130,2
23,4,1,0,1,1,1,2,1,3,0,19,2,116,40,30,58,46,30,1,175,80,2
24,4,1,0,1,1,1,2,1,3,0,19,2,116,36,30,61,42,10,1,108,100,2
25,4,1,0,1,1,1,2,1,3,0,19,2,116,48,60,58,50,20,0,108,80,2
26,4,1,0,1,1,1,2,1,3,0,19,2,138,48,30,61,52,30,0,108,130,2
27,4,1,0,1,1,1,2,1,3,0,19,2,116,40,60,61,52,30,0,135,100,2
28,6,1,0,1,1,1,3,0,3,0,9,17,116,35,120,46,38,30,1,70,35,2
29,6,1,0,1,1,1,3,0,3,0,9,17,95,26,120,49,29,30,0,91,28,2
30,6,1,0,1,1,1,3,0,3,0,9,17,116,26,120,53,32,20,1,56,28,2
31,6,1,0,1,1,1,3,0,3,0,9,17,102,26,60,53,32,10,0,91,45,2
32,6,1,0,1,1,1,3,0,3,0,9,17,102,29,120,53,32,30,0,56,45,2
33,6,1,0,1,1,1,3,0,3,0,9,17,95,29,60,53,32,20,1,91,35,2
34,6,1,0,1,1,1,3,0,3,0,9,17,95,35,60,49,40,10,1,70,28,2
35,6,1,0,1,1,1,3,0,3,0,9,17,95,29,120,46,35,20,0,70,45,2
36,6,1,0,1,1,1,3,0,3,0,9,17,102,35,30,53,46,20,1,70,45,2
37,7,1,0,1,1,1,3,1,1,0,1,2,87,42,120,32,49,20,0,117,140,2
38,7,1,0,1,1,1,3,1,1,0,1,2,80,42,30,29,46,10,0,117,182,2
39,7,1,0,1,1,1,3,1,1,0,1,2,101,42,60,36,56,30,0,117,112,2
40,7,1,0,1,1,1,3,1,1,0,1,2,80,35,30,32,49,20,0,72,112,2
41,7,1,0,1,1,1,3,1,1,0,1,2,101,31,60,32,38,20,0,90,182,2
42,7,1,0,1,1,1,3,1,1,0,1,2,87,31,120,29,46,10,0,90,112,2
43,7,1,0,1,1,1,3,1,1,0,1,2,80,42,120,36,56,10,0,72,140,1
44,7,1,0,1,1,1,3,1,1,0,1,2,80,31,30,36,40,30,0,90,140,2
45,7,1,0,1,1,1,3,1,1,0,1,2,101,35,60,29,43,10,0,72,140,2
46,8,1,0,1,1,1,4,1,3,0,1,17,109,26,120,56,34,20,0,130,30,2
47,8,1,0,1,1,1,4,1,3,0,1,17,100,26,30,53,32,10,0,130,39,2
48,8,1,0,1,1,1,4,1,3,0,1,17,126,26,60,60,40,30,0,130,24,2
49,8,1,0,1,1,1,4,1,3,0,1,17,100,22,30,56,35,20,0,80,24,3
50,8,1,0,1,1,1,4,1,3,0,1,17,126,20,60,56,24,20,0,100,39,2
51,8,1,0,1,1,1,4,1,3,0,1,17,109,20,120,53,32,10,0,100,24,3
52,8,1,0,1,1,1,4,1,3,0,1,17,100,26,120,60,40,10,0,80,30,3
53,8,1,0,1,1,1,4,1,3,0,1,17,100,20,30,60,26,30,0,100,30,2
54,8,1,0,1,1,1,4,1,3,0,1,17,126,22,60,53,28,10,0,80,30,2
55,9,1,0,1,1,1,2,1,2,0,17,1,116,24,30,53,28,10,0,60,32,2
56,9,1,0,1,1,1,2,1,2,0,17,1,116,22,30,46,32,20,0,78,40,2
57,9,1,0,1,1,1,2,1,2,0,17,1,116,24,120,49,36,10,1,78,52,2
58,9,1,0,1,1,1,2,1,2,0,17,1,95,22,60,46,32,30,1,48,52,2
59,9,1,0,1,1,1,2,1,2,0,17,1,102,24,30,46,29,30,1,78,32,2
60,9,1,0,1,1,1,2,1,2,0,17,1,102,29,60,46,32,20,0,48,32,2
61,9,1,0,1,1,1,2,1,2,0,17,1,102,22,30,49,25,10,1,48,40,2
62,9,1,0,1,1,1,2,1,2,0,17,1,102,24,60,49,36,30,0,60,40,2
63,9,1,0,1,1,1,2,1,2,0,17,1,116,29,30,49,35,30,0,48,52,2
64,14,1,0,1,2,1,3,1,2,0,1,17,130,31,120,77,38,20,0,91,100,2
65,14,1,0,1,2,1,3,1,2,0,1,17,118,31,30,74,36,10,0,91,130,2
66,14,1,0,1,2,1,3,1,2,0,1,17,153,31,60,81,43,30,0,91,80,2
67,14,1,0,1,2,1,3,1,2,0,1,17,118,26,30,77,38,20,0,56,80,1
68,14,1,0,1,2,1,3,1,2,0,1,17,153,23,60,77,28,20,0,70,130,2
69,14,1,0,1,2,1,3,1,2,0,1,17,130,23,120,74,35,10,0,70,80,2
70,14,1,0,1,2,1,3,1,2,0,1,17,118,31,120,81,43,10,0,56,100,2
71,14,1,0,1,2,1,3,1,2,0,1,17,118,23,30,81,29,30,0,70,100,1
72,14,1,0,1,2,1,3,1,2,0,1,17,153,26,60,74,32,10,0,56,100,2
73,16,1,0,1,2,1,3,1,2,0,25,1,208,62,30,79,66,10,0,190,80,2
74,16,1,0,1,2,1,3,1,2,0,25,1,208,62,120,71,80,10,1,247,130,2
75,16,1,0,1,2,1,3,1,2,0,25,1,208,56,30,65,74,20,0,247,100,2
76,16,1,0,1,2,1,3,1,2,0,25,1,165,56,60,65,74,30,1,152,130,2
77,16,1,0,1,2,1,3,1,2,0,25,1,179,62,30,65,70,30,1,247,80,2
78,16,1,0,1,2,1,3,1,2,0,25,1,179,56,30,71,62,10,1,152,100,2
79,16,1,0,1,2,1,3,1,2,0,25,1,179,74,60,65,78,20,0,152,80,2
80,16,1,0,1,2,1,3,1,2,0,25,1,208,74,30,71,80,30,0,152,130,2
81,16,1,0,1,2,1,3,1,2,0,25,1,179,62,60,71,80,30,0,190,100,2
82,17,1,0,2,1,0,1,1,2,0,1,2,132,23,30,61,26,10,0,90,20,2
83,17,1,0,2,1,0,1,1,2,0,1,2,132,23,120,57,31,10,1,117,32,2
84,17,1,0,2,1,0,1,1,2,0,1,2,132,21,30,54,28,20,0,117,25,2
85,17,1,0,2,1,0,1,1,2,0,1,2,102,21,60,54,28,30,1,72,32,2
86,17,1,0,2,1,0,1,1,2,0,1,2,112,23,30,54,28,30,1,117,20,2
87,17,1,0,2,1,0,1,1,2,0,1,2,112,21,30,57,24,10,1,72,25,2
88,17,1,0,2,1,0,1,1,2,0,1,2,112,28,60,54,30,20,0,72,20,2
89,17,1,0,2,1,0,1,1,2,0,1,2,132,28,30,57,31,30,0,72,32,2
90,17,1,0,2,1,0,1,1,2,0,1,2,112,23,60,57,31,30,0,90,25,2
91,18,1,0,2,1,0,3,1,3,0,2,25,186,24,30,95,27,10,0,110,32,2
92,18,1,0,2,1,0,3,1,3,0,2,25,186,24,120,89,32,10,1,143,52,2
93,18,1,0,2,1,0,3,1,3,0,2,25,186,22,30,84,30,20,0,143,40,2
94,18,1,0,2,1,0,3,1,3,0,2,25,154,22,60,84,30,30,1,88,52,2
95,18,1,0,2,1,0,3,1,3,0,2,25,165,24,30,84,28,30,1,143,32,2
96,18,1,0,2,1,0,3,1,3,0,2,25,165,22,30,89,25,10,1,88,40,2
97,18,1,0,2,1,0,3,1,3,0,2,25,165,29,60,84,30,20,0,88,32,2
98,18,1,0,2,1,0,3,1,3,0,2,25,186,29,30,89,32,30,0,88,52,2
99,18,1,0,2,1,0,3,1,3,0,2,25,165,24,60,89,32,30,0,110,40,2
100,19,1,0,2,1,1,1,0,1,0,1,17,212,26,120,121,27,30,1,1200,10,3
101,19,1,0,2,1,1,1,0,1,0,1,17,177,20,60,128,23,10,0,1560,13,1
102,19,1,0,2,1,1,1,0,1,0,1,17,159,20,120,124,22,30,0,1560,8,3
103,19,1,0,2,1,1,1,0,1,0,1,17,212,20,120,128,23,20,1,960,8,3
104,19,1,0,2,1,1,1,0,1,0,1,17,177,22,120,128,24,30,0,960,13,1
105,19,1,0,2,1,1,1,0,1,0,1,17,159,22,60,128,24,20,1,1560,10,1
106,19,1,0,2,1,1,1,0,1,0,1,17,159,26,60,124,28,10,1,1200,8,2
