chid,alt,x1,x2,x3,s1,s2,e1,e2,o1,dist,LC,utility,match
1,0,10,5,2,s11,s21,e11,e22,o11,3.45,2,-2.489469951,1
1,1,5,16,2,s11,s21,e11,e22,o11,3.45,2,-2.800024306,0
2,0,36,4,1.5,s12,s21,e13,e22,o13,15.67,1,-5.1147,0
2,1,23,16,4.25,s12,s21,e13,e22,o13,15.67,1,-4.760332935,1
3,0,20,6,1.5,s11,s21,e11,e21,o11,10.46,3,-2.797386611,0
3,1,16,16,3.5,s11,s21,e11,e21,o11,10.46,3,-2.37643053,1
4,0,9,7,1.5,s11,s21,e12,e22,o13,3.57,3,-2.261922556,0
4,1,6,13,2,s11,s21,e12,e22,o13,3.57,3,-1.791949795,1
5,0,10,4,1.5,s11,s22,e11,e22,o13,4.76,2,-1.991708941,1
5,1,8,16,2,s11,s22,e11,e22,o13,4.76,2,-3.074004732,0
6,0,5,5,1.5,s11,s21,e12,e22,o11,4.28,2,-1.581053131,1
6,1,6,16,2,s11,s21,e12,e22,o11,4.28,2,-3.86939753,0
7,0,5,5,2,s11,s21,e11,e22,o13,2.61,1,-1.319496595,0
7,1,4,13,2,s11,s21,e11,e22,o13,2.61,1,-0.667741436,1
8,0,11,3,2,s11,s21,e11,e22,o13,5.03,3,-1.565395199,1
8,1,8,17,2.75,s11,s21,e11,e22,o13,5.03,3,-1.576751723,0
9,0,13,4,1.5,s12,s21,e12,e21,o13,5.55,1,-2.452864505,1
9,1,9,18,2.75,s12,s21,e12,e21,o13,5.55,1,-2.997968464,0
10,0,11,4,1.5,s12,s21,e13,e22,o11,4.44,1,-1.808357559,1
10,1,7,16,2,s12,s21,e13,e22,o11,4.44,1,-2.819387938,0
11,0,8,5,1.5,s13,s23,e12,e22,o14,4.7,3,-1.482118015,1
11,1,7,15,2,s13,s23,e12,e22,o14,4.7,3,-1.986385087,0
12,0,10,3,2,s12,s22,e11,e22,o12,3.48,1,-1.923255384,0
