chid,alt,match,x1,x2,x3,s11,s12,s13,s21,s22,s23,o11,o12,o13,o14,e11,e12,e13,e21,e22,e23,flag
2,1,0,36,4,1.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,tr
2,2,1,23,16,4.25,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,tr
3,1,0,20,6,1.5,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,tr
3,2,1,16,16,3.5,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,tr
4,1,0,9,7,1.5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
4,2,1,6,13,2.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
5,1,1,10,4,1.5,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,tr
5,2,0,8,16,2.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,tr
6,1,1,5,5,1.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,tr
6,2,0,6,16,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,tr
7,1,0,5,5,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
7,2,1,4,13,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
8,1,1,11,3,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
8,2,0,8,17,2.75,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
9,1,1,13,4,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
9,2,0,9,18,2.75,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
10,1,1,11,4,1.5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,tr
10,2,0,7,16,2.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,tr
11,1,1,8,5,1.5,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,tr
11,2,0,7,15,2.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,tr
12,1,0,10,3,2.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,tr
12,2,1,5,13,2.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,tr
13,1,0,24,4,1.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,tr
13,2,1,20,16,3.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,tr
14,1,0,41,5,1.5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
14,2,1,25,13,4.25,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
15,1,1,6,5,1.5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,tr
15,2,0,3,18,2.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,tr
16,1,1,8,3,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
16,2,0,5,17,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
17,1,0,6,5,1.5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,tr
17,2,1,4,14,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,tr
18,1,1,11,6,2.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
18,2,0,6,16,2.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
