number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
170,0.2810747027397156,2025-10-20 22:57:51.505429,2025-10-20 22:57:55.339696,3,shared,0.027526572220583044,128,64,,,2,0.2295789449392793,600,40,0.0021309900850134313,0.008456355889215735,0.7975675463676453,0.5944949388504028,0.8880000114440918,COMPLETE
80,0.2818487882614136,2025-10-20 22:53:23.568660,2025-10-20 22:53:26.874026,3,shared,0.021602681088652615,256,64,256.0,256.0,4,0.010839852997481985,600,40,0.0007896093200586492,0.005976838527259633,0.7656030058860779,0.5933781266212463,0.8899999856948853,COMPLETE
144,0.28205907344818115,2025-10-20 22:56:37.145587,2025-10-20 22:56:39.833156,2,shared,0.03382097728484973,128,64,,,2,0.29839371789807834,900,20,0.00018807396789662626,0.0013001186362571102,0.3320421874523163,0.5930747985839844,0.8884000182151794,COMPLETE
131,0.2823515832424164,2025-10-20 22:56:07.053589,2025-10-20 22:56:08.787075,1,shared,0.05372099171470085,128,64,,,2,0.2689696015425675,1200,20,0.0004865374873036971,0.002594147792807264,0.2685886323451996,0.5926526784896851,0.8859999775886536,COMPLETE
35,0.2826489806175232,2025-10-20 22:50:25.706470,2025-10-20 22:50:28.781449,3,class-specific,0.02844103902572558,128,64,128.0,64.0,4,0.11665808476431427,300,40,0.0063130005772221295,0.0061721062347601325,0.7436063289642334,0.5922236442565918,0.8859999775886536,COMPLETE
166,0.283238023519516,2025-10-20 22:57:42.129997,2025-10-20 22:57:44.266171,2,shared,0.03424293000094312,128,64,,,2,0.22058375877675265,300,20,0.0004447013987582851,0.005093265584831989,0.2886974513530731,0.5913739204406738,0.885200023651123,COMPLETE
97,0.2840341329574585,2025-10-20 22:54:31.286290,2025-10-20 22:54:34.794477,3,shared,0.020566817600852536,128,64,64.0,,3,0.27027438116823543,1200,20,0.0030216145611821382,0.0010773129091493012,0.2547736167907715,0.590225338935852,0.8888000249862671,COMPLETE
115,0.2845348119735718,2025-10-20 22:55:26.644433,2025-10-20 22:55:29.085311,2,shared,0.01764852669932522,128,64,,,2,0.25766740316495335,300,20,0.001854562784552791,0.0016424203878910313,0.6054818630218506,0.5895030498504639,0.8884000182151794,COMPLETE
159,0.2846129834651947,2025-10-20 22:57:21.180591,2025-10-20 22:57:22.971450,1,class-specific,0.022283203075705,128,64,256.0,,3,0.25623771163032505,300,20,0.0006791576756323322,0.0002553271956842708,0.19193266332149506,0.589390218257904,0.8840000033378601,COMPLETE
181,0.2860391139984131,2025-10-20 22:58:24.787757,2025-10-20 22:58:26.784680,1,shared,0.01678702888618657,128,64,,,2,0.022427784837144266,300,20,0.0002582476511454937,0.0019415692963462663,0.19437770545482635,0.5873327851295471,0.8863999843597412,COMPLETE
