number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test/rho2,user_attrs_test_acc,state
141,0.31384754180908203,2025-10-20 22:55:10.205053,2025-10-20 22:55:12.408180,2,class-specific,0.06461750891567773,64,128,256.0,,3,0.2182084267227606,600,40,0.0002616836232368752,0.00021470923169730844,0.5472136735916138,0.8695999979972839,COMPLETE
132,0.31396183371543884,2025-10-20 22:54:50.853647,2025-10-20 22:54:52.175158,1,class-specific,0.06162629019487693,64,128,256.0,,3,0.18684542835699308,600,40,0.00025289124672657785,0.002343174991095933,0.547048807144165,0.864799976348877,COMPLETE
14,0.3140079975128174,2025-10-20 22:50:26.237254,2025-10-20 22:50:29.086251,2,class-specific,0.03639983340875597,256,256,64.0,,3,0.18160462874737154,300,40,0.0002348087864046359,0.001696610610983312,0.5469821691513062,0.8695999979972839,COMPLETE
177,0.3140864372253418,2025-10-20 22:56:30.934054,2025-10-20 22:56:32.641361,1,class-specific,0.06661625859221794,64,256,256.0,,3,0.09888504435687738,600,40,0.00014602629167826826,0.00012156391398079777,0.5468690395355225,0.8655999898910522,COMPLETE
186,0.31410130858421326,2025-10-20 22:56:49.703544,2025-10-20 22:56:51.686732,1,class-specific,0.06476088124825813,64,256,256.0,,3,0.11211077896389883,600,40,0.00015399292345012012,0.0002788925491528801,0.5468475818634033,0.8623999953269958,COMPLETE
124,0.3141373097896576,2025-10-20 22:54:37.570459,2025-10-20 22:54:39.386054,1,class-specific,0.06537813612017104,64,128,256.0,,3,0.1985819387845745,300,40,0.0001405419531741801,0.0014684332302939186,0.5467956066131592,0.8664000034332275,COMPLETE
105,0.3141477406024933,2025-10-20 22:53:59.469363,2025-10-20 22:54:01.140641,1,class-specific,0.05459250900936334,64,128,256.0,,3,0.18053013198786458,1200,40,0.00023697885366967463,0.00014725451948053233,0.5467805862426758,0.8651999831199646,COMPLETE
27,0.3142007887363434,2025-10-20 22:50:58.743942,2025-10-20 22:51:00.676596,1,class-specific,0.016075616799641677,256,128,,,2,0.10661910072157868,600,10,0.0007402437685350863,0.0002729644110843055,0.5467040538787842,0.8687999844551086,COMPLETE
191,0.31423234939575195,2025-10-20 22:57:00.585628,2025-10-20 22:57:02.520727,1,class-specific,0.06633017552405737,64,256,256.0,,3,0.0939962597741083,600,40,0.00015023577659497875,0.00031289937514975664,0.5466585755348206,0.8668000102043152,COMPLETE
5,0.3142492473125458,2025-10-20 22:49:54.652793,2025-10-20 22:49:56.961914,2,class-specific,0.044422779356576604,256,128,64.0,256.0,4,0.20602279024425602,600,40,0.0005269317497363742,0.003437476567607251,0.5466341376304626,0.8676000237464905,COMPLETE
142,0.31425532698631287,2025-10-20 22:55:12.421969,2025-10-20 22:55:14.597838,2,class-specific,0.06662054332321159,64,128,256.0,,3,0.21517609902645782,600,40,0.00025067412819068305,0.0003899291891641024,0.5466254353523254,0.8655999898910522,COMPLETE
111,0.31426841020584106,2025-10-20 22:54:07.367898,2025-10-20 22:54:09.341541,1,class-specific,0.05275627751535432,64,128,256.0,,3,0.16563306767393382,1200,40,0.0002699845004378456,0.0001452741864635374,0.5466065406799316,0.8695999979972839,COMPLETE
7,0.3143117129802704,2025-10-20 22:50:07.488848,2025-10-20 22:50:10.352302,2,shared,0.013602363732913937,64,128,,,2,0.16002984894746053,1500,20,0.00047817745580688414,0.0002932064350222097,0.546544075012207,0.868399977684021,COMPLETE
106,0.31432831287384033,2025-10-20 22:54:01.156943,2025-10-20 22:54:02.581755,1,class-specific,0.09162232462151064,64,128,256.0,,3,0.15665178309633626,1200,40,0.00017767265612662694,0.00011860422276082441,0.5465201139450073,0.8679999709129333,COMPLETE
183,0.3143365979194641,2025-10-20 22:56:42.974205,2025-10-20 22:56:45.718733,2,class-specific,0.05836373507852583,64,256,256.0,,3,0.11236142405085166,600,40,0.00015576525810746873,0.0002502512961567094,0.5465081930160522,0.8668000102043152,COMPLETE
164,0.3143423795700073,2025-10-20 22:56:04.311437,2025-10-20 22:56:05.747537,1,shared,0.04195082514905905,64,128,,,2,0.17054271314803815,1200,40,0.0005525576698026095,0.00046256895591625463,0.5464997291564941,0.8679999709129333,COMPLETE
145,0.3143543601036072,2025-10-20 22:55:17.828067,2025-10-20 22:55:19.233571,1,class-specific,0.06818351196436602,64,128,256.0,,3,0.07557367462745888,600,40,0.0003362252309957046,0.00029495368671732356,0.5464824438095093,0.8676000237464905,COMPLETE
28,0.31436026096343994,2025-10-20 22:51:00.695954,2025-10-20 22:51:02.152882,1,class-specific,0.07138540583364071,256,64,256.0,,3,0.10039455161677505,600,10,0.002916397894657692,0.0021625737880501816,0.5464739799499512,0.8712000250816345,COMPLETE
182,0.3143644630908966,2025-10-20 22:56:40.700953,2025-10-20 22:56:42.960386,2,class-specific,0.05873104033657542,64,256,256.0,,3,0.11420801218949349,600,40,0.00015669188541649027,0.0002571108670591097,0.5464679598808289,0.8679999709129333,COMPLETE
97,0.3143673837184906,2025-10-20 22:53:42.290956,2025-10-20 22:53:44.483069,2,class-specific,0.05267756556127123,64,128,256.0,,3,0.05482171218649132,600,40,0.0002703897958279259,0.00025522262021620564,0.5464637279510498,0.8687999844551086,COMPLETE
194,0.3143683075904846,2025-10-20 22:57:08.389834,2025-10-20 22:57:10.210118,1,class-specific,0.07745558157500945,64,256,256.0,,3,0.11149335586179204,600,40,0.00016462289701429556,0.0016377848893368077,0.5464624166488647,0.8655999898910522,COMPLETE
156,0.3143778443336487,2025-10-20 22:55:46.701359,2025-10-20 22:55:48.717761,2,shared,0.06583234651723768,64,128,256.0,,3,0.07743115870910763,300,40,0.0029073417784631125,0.00029680824541415706,0.5464485883712769,0.8679999709129333,COMPLETE
188,0.3143857717514038,2025-10-20 22:56:54.054580,2025-10-20 22:56:56.222880,2,class-specific,0.06223867681468037,64,256,256.0,,3,0.09985439985913601,600,40,0.00016018540255001364,0.00021358086090495098,0.5464372038841248,0.868399977684021,COMPLETE
47,0.3143885135650635,2025-10-20 22:51:53.588627,2025-10-20 22:51:56.000290,2,shared,0.03956433654429468,256,256,128.0,,3,0.1603211810246675,1200,40,0.0021533045646912473,0.0045703722056759785,0.5464332699775696,0.868399977684021,COMPLETE
63,0.3143935799598694,2025-10-20 22:52:31.847439,2025-10-20 22:52:33.066355,1,shared,0.055731375847344104,64,128,256.0,64.0,4,0.32173674078981185,1200,10,0.0019363991506936786,0.0004905993608736617,0.5464259386062622,0.8679999709129333,COMPLETE
94,0.3143998086452484,2025-10-20 22:53:37.791536,2025-10-20 22:53:39.500416,1,class-specific,0.063071951199585,256,128,64.0,,3,0.25717072222953186,600,40,0.00024225627065397297,0.0007035044016265899,0.5464169383049011,0.8679999709129333,COMPLETE
100,0.3144117593765259,2025-10-20 22:53:50.333196,2025-10-20 22:53:51.742283,1,class-specific,0.06442527167770064,64,128,256.0,,3,0.2391730410355727,600,40,0.00027351576461213755,0.0001986703680599346,0.546399712562561,0.864799976348877,COMPLETE
13,0.31442493200302124,2025-10-20 22:50:23.832042,2025-10-20 22:50:26.222517,2,shared,0.03554088645934275,64,128,256.0,64.0,4,0.2661559239204651,1200,10,0.0017320388832300125,0.000315821359657405,0.5463807582855225,0.8695999979972839,COMPLETE
179,0.31442898511886597,2025-10-20 22:56:34.673402,2025-10-20 22:56:36.612655,1,class-specific,0.07453502895195366,64,256,256.0,,3,0.21748971976374648,600,40,0.00013074314228065683,0.00012816225337723708,0.5463749170303345,0.8664000034332275,COMPLETE
135,0.31443333625793457,2025-10-20 22:54:56.887319,2025-10-20 22:54:58.785836,1,shared,0.04653696253027947,64,128,256.0,,3,0.14834539292062826,600,40,0.002435279466453615,0.003003491559590185,0.5463685989379883,0.8676000237464905,COMPLETE
30,0.31443628668785095,2025-10-20 22:51:04.146659,2025-10-20 22:51:05.646382,1,class-specific,0.05010563613222293,256,64,64.0,,3,0.06562616031940147,600,10,0.0006495555337929555,0.0005181658817339512,0.5463643670082092,0.8700000047683716,COMPLETE
131,0.31443679332733154,2025-10-20 22:54:49.749035,2025-10-20 22:54:50.838353,1,class-specific,0.06810383764086934,64,128,256.0,,3,0.2064067757619141,600,40,0.00022524247878385708,0.00018678269490977483,0.5463635921478271,0.8636000156402588,COMPLETE
149,0.3144376873970032,2025-10-20 22:55:26.061182,2025-10-20 22:55:27.406637,1,class-specific,0.08735643336384441,64,128,256.0,,3,0.20570838079961198,600,40,0.00029734241017374623,0.0003229479287600185,0.5463622808456421,0.8664000034332275,COMPLETE
24,0.3144553303718567,2025-10-20 22:50:50.011350,2025-10-20 22:50:52.178586,2,class-specific,0.03211828505894114,256,128,64.0,,3,0.28058588251829625,600,40,0.0005133751419704206,0.0006941179925288039,0.5463368892669678,0.8687999844551086,COMPLETE
125,0.31447574496269226,2025-10-20 22:54:39.399236,2025-10-20 22:54:40.549200,1,class-specific,0.0567343761006887,64,128,256.0,,3,0.19822992480294915,300,40,0.0002050769321115145,0.0014951026046803294,0.5463074445724487,0.8611999750137329,COMPLETE
199,0.31447693705558777,2025-10-20 22:57:17.763038,2025-10-20 22:57:19.304962,1,class-specific,0.08728708587884211,64,256,,,2,0.0998240508203848,600,40,0.0002243148663728102,0.00017337605473948743,0.5463057160377502,0.8664000034332275,COMPLETE
160,0.3144804537296295,2025-10-20 22:55:56.776794,2025-10-20 22:55:58.583658,1,class-specific,0.07021392965287639,64,64,256.0,,3,0.06001016886220703,300,40,0.00020523909860681034,0.00021130192059693565,0.5463005900382996,0.868399977684021,COMPLETE
66,0.314485102891922,2025-10-20 22:52:37.832759,2025-10-20 22:52:39.362530,1,shared,0.04500838330035425,128,128,256.0,,3,0.34499781903759547,300,40,0.00032166601313707505,0.0034801758537945007,0.5462939739227295,0.8664000034332275,COMPLETE
172,0.314495325088501,2025-10-20 22:56:21.861909,2025-10-20 22:56:23.499801,1,shared,0.06313289788164922,64,128,256.0,,3,0.08478917029138637,1200,10,0.0008297154063344135,0.0022481780361395514,0.5462791919708252,0.8704000115394592,COMPLETE
91,0.3144966661930084,2025-10-20 22:53:32.861407,2025-10-20 22:53:34.488349,1,class-specific,0.03257749638120366,256,128,64.0,,3,0.2780653191151773,600,40,0.00042107807434466586,0.0007727468497150107,0.5462771654129028,0.864799976348877,COMPLETE
137,0.31449711322784424,2025-10-20 22:55:00.366182,2025-10-20 22:55:01.662590,1,class-specific,0.05371704395752137,256,128,256.0,,3,0.16930179003040133,600,40,0.00019136898174741896,0.002054125091832964,0.5462765693664551,0.8687999844551086,COMPLETE
61,0.31449997425079346,2025-10-20 22:52:26.065254,2025-10-20 22:52:29.319199,3,shared,0.03649820850183637,64,128,256.0,64.0,4,0.2997801882404452,1200,10,0.003556243656155676,0.0003149917036360242,0.5462725162506104,0.868399977684021,COMPLETE
102,0.3145022392272949,2025-10-20 22:53:54.232420,2025-10-20 22:53:55.442309,1,class-specific,0.06176410503659328,64,128,256.0,,3,0.25755500304537304,600,40,0.00027965881953081264,0.0002007550286293738,0.5462691783905029,0.8651999831199646,COMPLETE
119,0.3145027160644531,2025-10-20 22:54:26.722602,2025-10-20 22:54:29.250583,2,class-specific,0.044566223315767935,256,128,256.0,,3,0.15183057065823202,1500,40,0.00010299268844302852,0.0010013509399605031,0.5462684631347656,0.8695999979972839,COMPLETE
72,0.31450754404067993,2025-10-20 22:52:50.304213,2025-10-20 22:52:52.555496,2,shared,0.03954744438378094,64,128,256.0,64.0,4,0.3048006671208702,1200,10,0.0017727275373691609,0.00020341290905213845,0.5462615489959717,0.8687999844551086,COMPLETE
68,0.3145124614238739,2025-10-20 22:52:41.207592,2025-10-20 22:52:42.563465,1,class-specific,0.07989170340502176,64,256,,,2,0.1528654912621936,600,10,0.001989532445783965,0.0004301592885314921,0.5462543964385986,0.8691999912261963,COMPLETE
146,0.3145151138305664,2025-10-20 22:55:19.248818,2025-10-20 22:55:21.253508,2,class-specific,0.07160746471717004,64,128,256.0,,3,0.09021259189473649,600,40,0.00035149931992080417,0.0002904596920027709,0.5462506413459778,0.8644000291824341,COMPLETE
185,0.3145168125629425,2025-10-20 22:56:47.763955,2025-10-20 22:56:49.688446,1,class-specific,0.08186956446603551,64,256,256.0,,3,0.12375972646633285,600,40,0.00018522671115474092,0.00022323117998532572,0.5462481379508972,0.868399977684021,COMPLETE
184,0.31452423334121704,2025-10-20 22:56:45.732009,2025-10-20 22:56:47.601749,1,class-specific,0.05909654126091513,64,256,256.0,,3,0.10892577351533124,600,40,0.00014924997035613776,0.0002524370042962482,0.5462374687194824,0.8668000102043152,COMPLETE
157,0.3145314157009125,2025-10-20 22:55:48.738343,2025-10-20 22:55:51.233684,2,class-specific,0.06526498649815075,64,128,256.0,,3,0.09185486815002174,300,40,0.004337353254427182,0.00035142006220070245,0.5462270975112915,0.8651999831199646,COMPLETE
101,0.31454765796661377,2025-10-20 22:53:51.762257,2025-10-20 22:53:54.215943,2,class-specific,0.05525222558617107,64,128,256.0,,3,0.26687234538978555,600,40,0.00025951705834037877,0.00028089184674706213,0.54620361328125,0.8668000102043152,COMPLETE
158,0.3145492374897003,2025-10-20 22:55:51.251380,2025-10-20 22:55:53.123340,1,class-specific,0.07833641845244589,64,128,128.0,,3,0.07516032686007841,300,40,0.002704556823823115,0.0002781246926934404,0.5462013483047485,0.8672000169754028,COMPLETE
196,0.3145626485347748,2025-10-20 22:57:12.506192,2025-10-20 22:57:14.121379,1,class-specific,0.07143713921426102,64,256,256.0,,3,0.11667076656202839,600,40,0.00020143713001164254,0.0003123486896935446,0.5461820363998413,0.8640000224113464,COMPLETE
150,0.3145652711391449,2025-10-20 22:55:27.421309,2025-10-20 22:55:30.227246,2,class-specific,0.07945748199644588,64,256,256.0,,3,0.046687085335251816,600,40,0.0003698062413500422,0.0026954996715909123,0.5461782217025757,0.864799976348877,COMPLETE
17,0.3145695924758911,2025-10-20 22:50:35.143889,2025-10-20 22:50:37.395491,2,class-specific,0.0644319557481323,256,256,64.0,128.0,4,0.20885523858664987,300,40,0.0019712710457136092,0.0017840859499325058,0.5461719036102295,0.8691999912261963,COMPLETE
52,0.314577579498291,2025-10-20 22:52:04.727570,2025-10-20 22:52:07.044058,2,shared,0.03520813493311963,256,256,128.0,,3,0.2160301159570744,1200,40,0.004408777755925041,0.004716446766686105,0.5461604595184326,0.8695999979972839,COMPLETE
33,0.31457847356796265,2025-10-20 22:51:10.656451,2025-10-20 22:51:12.650643,1,class-specific,0.03092578748565027,128,128,,,2,0.11858714072561255,900,40,0.0006028336422743809,0.0003640242526792813,0.5461591482162476,0.8676000237464905,COMPLETE
118,0.314593106508255,2025-10-20 22:54:24.633466,2025-10-20 22:54:26.705092,2,class-specific,0.06326311675343267,64,256,256.0,,3,0.14347332979434224,1200,40,0.00034288902707038443,0.004125169322744141,0.5461380481719971,0.8668000102043152,COMPLETE
21,0.3145987093448639,2025-10-20 22:50:42.478628,2025-10-20 22:50:45.312600,2,shared,0.015219493992564281,64,128,,,2,0.14637729395321347,1500,20,0.0004986294685686309,0.0002184986081323319,0.5461299419403076,0.8712000250816345,COMPLETE
62,0.31462588906288147,2025-10-20 22:52:29.334784,2025-10-20 22:52:31.832122,2,shared,0.03290603286839199,64,128,256.0,64.0,4,0.2640168862553913,1200,10,0.0015433941774863433,0.0015657105587966072,0.5460907220840454,0.868399977684021,COMPLETE
180,0.3146268129348755,2025-10-20 22:56:36.628904,2025-10-20 22:56:38.284674,1,class-specific,0.06636346763460267,64,256,256.0,,3,0.20574106432054853,600,40,0.00016806482932711062,0.00016037524368483724,0.5460894107818604,0.8668000102043152,COMPLETE
64,0.3146372139453888,2025-10-20 22:52:33.081475,2025-10-20 22:52:34.746593,1,shared,0.054707429362388545,64,128,256.0,64.0,4,0.3970989702267108,1200,10,0.005995871099054695,0.0011145871872326168,0.5460744500160217,0.8676000237464905,COMPLETE
173,0.31463736295700073,2025-10-20 22:56:23.515462,2025-10-20 22:56:25.575871,2,shared,0.055810509156063545,64,128,256.0,,3,0.1677015542565406,1200,40,0.00025488970700772125,0.0004495084009576248,0.5460742712020874,0.8676000237464905,COMPLETE
