number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
158,0.29417070746421814,2025-10-20 23:00:11.175654,2025-10-20 23:00:15.131874,3,shared,0.012867390471452361,128,128,,,2,0.2649774381617529,900,40,0.004806078451912636,0.003247881302889041,0.3917386531829834,0.57560133934021,0.8840000033378601,COMPLETE
166,0.2977737784385681,2025-10-20 23:00:37.730082,2025-10-20 23:00:40.996624,3,shared,0.011715610129336317,128,128,,,2,0.29318765502184835,900,40,0.0037183371149846663,0.005325276926898266,0.5399935841560364,0.5704032182693481,0.8804000020027161,COMPLETE
196,0.30127960443496704,2025-10-20 23:02:34.270228,2025-10-20 23:02:36.528231,2,shared,0.01375347366334948,128,64,,,2,0.27661627627007196,900,40,0.0017607369314021418,0.0060223488996216275,0.5124199986457825,0.5653454661369324,0.8759999871253967,COMPLETE
168,0.30200427770614624,2025-10-20 23:00:44.950769,2025-10-20 23:00:48.349845,3,shared,0.011327028956424082,128,128,,,2,0.2835932472184428,1500,40,0.006489848209193385,0.005922958356518629,0.4424839913845062,0.5642999410629272,0.8772000074386597,COMPLETE
125,0.30637791752815247,2025-10-20 22:57:46.714265,2025-10-20 22:57:50.704185,3,shared,0.009114069716142786,64,64,,,2,0.2963719103434665,1200,40,0.0014553377013685326,0.0006065741068542692,0.3735828399658203,0.5579900741577148,0.8748000264167786,COMPLETE
148,0.3077043294906616,2025-10-20 22:59:26.675670,2025-10-20 22:59:30.699493,4,shared,0.008968078258127012,128,128,,,2,0.28540280362631065,600,40,0.00425193264712516,0.004626985686770235,0.4293607473373413,0.5560765266418457,0.8744000196456909,COMPLETE
147,0.3082441985607147,2025-10-20 22:59:22.352590,2025-10-20 22:59:26.657951,4,shared,0.011290780436661405,128,128,,,2,0.28755254040689415,900,40,0.0036372393475665224,0.004590983309093812,0.41666820645332336,0.5552976131439209,0.8727999925613403,COMPLETE
177,0.30955713987350464,2025-10-20 23:01:21.961225,2025-10-20 23:01:25.961145,3,shared,0.009597348254755764,128,64,,,2,0.2562265793031096,900,40,0.004223599702017392,0.006277856499236536,0.606318473815918,0.553403377532959,0.8748000264167786,COMPLETE
137,0.31053802371025085,2025-10-20 22:58:33.951116,2025-10-20 22:58:37.491529,3,shared,0.011044626265224738,64,128,,,2,0.26183902952704846,900,40,0.0033695970515406773,0.004299942036405138,0.36431166529655457,0.5519883036613464,0.8727999925613403,COMPLETE
179,0.31222331523895264,2025-10-20 23:01:29.946675,2025-10-20 23:01:31.741731,1,shared,0.012315900812679558,128,64,,,2,0.273841150314268,900,40,0.006223163368877711,0.0069211456051903025,0.41211602091789246,0.5495569705963135,0.8679999709129333,COMPLETE
65,0.3176162540912628,2025-10-20 22:53:43.183494,2025-10-20 22:53:45.417916,2,shared,0.014361812622150135,256,256,,,2,0.31511395039767376,900,40,0.0014943136306000884,0.003417023568949892,0.38571983575820923,0.5417765974998474,0.8691999912261963,COMPLETE
171,0.31922727823257446,2025-10-20 23:00:56.207325,2025-10-20 23:00:59.297581,3,shared,0.01177401785505955,128,128,,,2,0.28277195935162264,1500,40,0.00459043799148013,0.005562543164568543,0.464781790971756,0.5394524335861206,0.8687999844551086,COMPLETE
164,0.31960049271583557,2025-10-20 23:00:30.358187,2025-10-20 23:00:33.781387,3,shared,0.011793802532058925,128,128,,,2,0.2826130846955711,900,40,0.003476515581940389,0.004731662897849194,0.42799127101898193,0.5389139652252197,0.8695999979972839,COMPLETE
71,0.32243776321411133,2025-10-20 22:54:08.100356,2025-10-20 22:54:12.284858,4,shared,0.01002199040390949,256,256,,,2,0.3181095427466937,1200,40,0.0013904783130160414,0.0038629327324005884,0.5650286078453064,0.5348206162452698,0.868399977684021,COMPLETE
34,0.3227933943271637,2025-10-20 22:51:27.943424,2025-10-20 22:51:33.082853,5,shared,0.005818489378645293,64,256,,,2,0.3684518887864327,1200,40,0.0013771740157549233,0.005002188062855509,0.5936687588691711,0.534307599067688,0.8700000047683716,COMPLETE
105,0.32309862971305847,2025-10-20 22:56:40.080832,2025-10-20 22:56:44.153731,4,shared,0.008263841069472418,64,64,,,2,0.29457519689349804,1200,40,0.0019945719850296695,0.003917076696678163,0.7289943099021912,0.5338672399520874,0.8664000034332275,COMPLETE
37,0.32345902919769287,2025-10-20 22:51:42.458338,2025-10-20 22:51:46.360600,3,shared,0.0054966918111659605,64,256,,,2,0.3193275700323262,1200,40,0.0013864354324492176,0.009971226883115292,0.4534228444099426,0.5333472490310669,0.8632000088691711,COMPLETE
56,0.3238161504268646,2025-10-20 22:53:06.295636,2025-10-20 22:53:11.460047,5,shared,0.007911075074940616,64,256,,,2,0.3437224424769521,900,40,0.002432612452222425,0.005353374741243263,0.3552899658679962,0.5328320264816284,0.8676000237464905,COMPLETE
40,0.32485562562942505,2025-10-20 22:51:56.482988,2025-10-20 22:52:00.959905,4,shared,0.0057401748355702525,64,256,,,2,0.36196100557411465,1200,40,0.0018404216839869461,0.005998962936848643,0.4403916001319885,0.5313323736190796,0.8727999925613403,COMPLETE
111,0.3249130845069885,2025-10-20 22:56:59.512990,2025-10-20 22:57:02.762210,3,shared,0.008331098728972827,256,64,,,2,0.24687010586021838,1200,20,0.0017508396541232722,0.0004434223501736713,0.445661336183548,0.5312495231628418,0.8700000047683716,COMPLETE
121,0.3258988857269287,2025-10-20 22:57:30.295494,2025-10-20 22:57:34.388762,4,shared,0.005844402514755887,64,64,,,2,0.2849529190790136,1200,40,0.0017233900087970568,0.0005177595373018301,0.5905805826187134,0.5298272967338562,0.8755999803543091,COMPLETE
142,0.32710492610931396,2025-10-20 22:58:57.621471,2025-10-20 22:59:02.401281,4,shared,0.008152073919664164,64,128,,,2,0.34112354582275173,600,40,0.0035423073126136925,0.0033133051483447288,0.3580052852630615,0.528087317943573,0.8676000237464905,COMPLETE
159,0.3282356262207031,2025-10-20 23:00:15.145659,2025-10-20 23:00:17.374624,2,shared,0.013112926277219583,128,128,,,2,0.26755875912790045,900,40,0.003688829851757791,0.0032979706511865616,0.524748682975769,0.5264561176300049,0.864799976348877,COMPLETE
