number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
117,0.5982230305671692,2025-10-26 12:05:58.957285,2025-10-26 12:06:04.382079,5,class-specific,0.01721790647826288,256,256,,,2,0.27170629047512984,900,10,0.0006178316982601333,0.0002841488256265561,0.5683420896530151,0.4554738998413086,0.73893803358078,COMPLETE
181,0.6057750582695007,2025-10-26 12:10:49.762229,2025-10-26 12:10:56.489401,6,class-specific,0.012077349956372664,256,256,,,2,0.25873948205717046,900,10,0.0018626245955503022,0.0007034391509328318,0.46387287974357605,0.44859975576400757,0.7483407258987427,COMPLETE
89,0.6060757637023926,2025-10-26 12:03:57.018916,2025-10-26 12:04:02.607050,5,class-specific,0.01138660746109342,128,64,,,2,0.15113438651971345,900,10,0.002523532239827368,0.001075242290108117,0.5893730521202087,0.44832611083984375,0.747787594795227,COMPLETE
58,0.6068428754806519,2025-10-26 12:01:32.585235,2025-10-26 12:01:38.806744,6,class-specific,0.011075449148530493,128,64,,,2,0.09986186229460636,900,10,0.007243884954016547,0.00042245019337284833,0.5370815396308899,0.4476279020309448,0.7356194853782654,COMPLETE
141,0.609117329120636,2025-10-26 12:08:10.068500,2025-10-26 12:08:16.930212,6,class-specific,0.012141807270618492,256,256,,,2,0.25741248607186323,900,10,0.0018400638957943307,0.0008677100521721306,0.3708445131778717,0.44555747509002686,0.7428097128868103,COMPLETE
153,0.6098110675811768,2025-10-26 12:09:02.111356,2025-10-26 12:09:06.054718,3,class-specific,0.016228925782190727,256,256,,,2,0.2569764621283639,900,10,0.0017671917555170666,0.0006544345653216604,0.6342986822128296,0.4449259638786316,0.7311946749687195,COMPLETE
182,0.610038697719574,2025-10-26 12:10:56.509518,2025-10-26 12:11:00.472234,3,class-specific,0.014120765267736587,256,256,,,2,0.27306205717460585,900,10,0.0022667056139550595,0.000654772213003445,0.39803844690322876,0.4447188377380371,0.7417035102844238,COMPLETE
131,0.6122740507125854,2025-10-26 12:07:09.772279,2025-10-26 12:07:15.804899,6,class-specific,0.012215376060690999,256,256,,,2,0.2574380145984202,900,10,0.000902287446436872,0.0014168440899554777,0.49429237842559814,0.4426841735839844,0.7350663542747498,COMPLETE
62,0.6124753952026367,2025-10-26 12:01:49.944205,2025-10-26 12:01:54.314507,4,class-specific,0.01937190925331256,128,64,,,2,0.19100670427987013,900,10,0.0023770070116676625,0.0004910486126069633,0.7152276039123535,0.4425008296966553,0.73893803358078,COMPLETE
157,0.6133246421813965,2025-10-26 12:09:17.901563,2025-10-26 12:09:23.591649,5,class-specific,0.017529128115590556,128,64,,,2,0.22232270130719187,900,10,0.0017709344467191882,0.0010137186420946397,0.6694296598434448,0.44172775745391846,0.7394911646842957,COMPLETE
