number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test/rho2,user_attrs_test_acc,state
83,0.7078389525413513,2025-10-26 12:03:30.688692,2025-10-26 12:03:34.542054,3,shared,0.0406284948056195,256,128,256.0,128.0,4,0.2590012265472613,1200,1,0.0003691801741498423,0.0007701417766952939,0.35569727420806885,0.6858407258987427,COMPLETE
136,0.7086397409439087,2025-10-26 12:08:32.716433,2025-10-26 12:08:36.162996,3,class-specific,0.010708422763760234,256,128,,,2,0.1915810972677166,1200,40,0.0004945991626210384,0.0062736143496651695,0.3549683094024658,0.6869469285011292,COMPLETE
128,0.7093735337257385,2025-10-26 12:06:58.817836,2025-10-26 12:07:05.292460,6,shared,0.06168998555394609,256,128,,,2,0.29146853031772524,1200,1,0.00045121764854508364,0.006189377196993425,0.3543003797531128,0.6875,COMPLETE
196,0.7099405527114868,2025-10-26 12:14:40.195811,2025-10-26 12:14:43.148927,2,shared,0.03672657589154065,256,128,,,2,0.1671557104158984,1200,20,0.00040334759392457106,0.00471355422470043,0.3537842035293579,0.6886062026023865,COMPLETE
14,0.7099913358688354,2025-10-26 11:56:07.306909,2025-10-26 11:56:14.927601,7,class-specific,0.04248636782107456,256,128,256.0,,3,0.22279520272721878,300,1,0.0008903038554912525,0.003675921669132867,0.35373806953430176,0.6902654767036438,COMPLETE
155,0.7101210355758667,2025-10-26 12:10:04.434219,2025-10-26 12:10:17.093154,12,shared,0.029826504565904476,256,128,,,2,0.18433677527127929,600,1,0.0003476166589609558,0.005492861590790536,0.3536200523376465,0.6913716793060303,COMPLETE
154,0.7102559804916382,2025-10-26 12:09:59.259590,2025-10-26 12:10:04.400609,5,shared,0.02933143820443348,256,128,,,2,0.1732456893424211,600,1,0.00038991826361156476,0.005504813795753272,0.35349708795547485,0.6819690465927124,COMPLETE
12,0.7102707028388977,2025-10-26 11:55:55.850044,2025-10-26 11:56:04.992335,9,class-specific,0.03443425114462438,256,128,256.0,,3,0.3181867302056751,900,1,0.0004036951137979058,0.00036945284898879207,0.35348373651504517,0.6908186078071594,COMPLETE
197,0.7103998064994812,2025-10-26 12:14:43.165403,2025-10-26 12:14:45.074629,1,shared,0.06806464951146225,256,128,,,2,0.16621651736181325,1200,20,0.00036636266565790647,0.004074692095912697,0.35336631536483765,0.6869469285011292,COMPLETE
182,0.7104859352111816,2025-10-26 12:13:01.855848,2025-10-26 12:13:14.783548,12,shared,0.033760889460908924,256,128,,,2,0.17819146932093258,1200,1,0.0003544835865290108,0.0034998960931992558,0.35328781604766846,0.6908186078071594,COMPLETE
