Ord,C,Z,Train,SM,Car,E,Beta_E,Total_Train,Total_SM,Total_Car,show,lab,lab2
1,Class 1,firstclass_0,0.82504404,-0.26938564,0.49672297,FIRST,0.324272186,0.267538834,-0.08735427,0.161073443,0,seatclass_first,first class
2,Class 1,firstclass_1,0.37921086,0.75961274,-0.5283821,FIRST,0.324272186,0.122967534,0.246321283,-0.171339618,0,,
3,Class 1,tickettype_annual,0.6345684,-0.17781915,0.7521324,TICKET,1.097706437,0.696569817,-0.195193226,0.825620577,0,,
4,Class 1,tickettype_annulDisc,-0.040943958,-0.72891444,0.68337923,TICKET,1.097706437,-0.044944446,-0.800134073,0.75014978,0,,
5,Class 1,tickettype_freeAfter7,-0.6681392,0.5578746,-0.49230653,TICKET,1.097706437,-0.733420701,0.61238254,-0.540408047,0,,
6,Class 1,tickettype_halfDay,0.7319762,-0.46555164,-0.49746594,TICKET,1.097706437,0.803494987,-0.511039032,-0.546071565,0,,
7,Class 1,tickettype_oneWay,-0.51666266,-0.85420704,-0.058224827,TICKET,1.097706437,-0.567143928,-0.937668566,-0.063913767,0,ticket_one-way,one-way
8,Class 1,tickettype_oneWayDisc,0.55502516,0.15298247,-0.817645,TICKET,1.097706437,0.609254691,0.167929842,-0.89753418,0,,
9,Class 1,tickettype_other,0.8291387,-0.18871675,-0.5262272,TICKET,1.097706437,0.910150888,-0.207155591,-0.577642985,0,,
10,Class 1,tickettype_twoWay,-0.97320825,-0.1318532,0.18836263,TICKET,1.097706437,-1.068296961,-0.144736106,0.206766871,0,ticket_two-way,two-way
11,Class 1,tickettype_twoWayDisc,-0.77936,0.36455458,0.50960577,TICKET,1.097706437,-0.855508489,0.400173909,0.559397534,0,,
12,Class 1,whopaid_employer,-0.9376551,-0.32165948,-0.13167374,WHOPAID,0.126295388,-0.118421514,-0.040624109,-0.016629786,1,paidby_employer,employer
13,Class 1,whopaid_mixed,-0.121646024,-0.95491976,0.27079606,WHOPAID,0.126295388,-0.015363332,-0.120601961,0.034200293,1,paidby_mixed,mixed
14,Class 1,whopaid_self,0.6137858,-0.4472078,-0.6505937,WHOPAID,0.126295388,0.077518316,-0.056480283,-0.082166984,1,paidby_self,self
15,Class 1,whopaid_unknown,0.10071732,0.91015184,-0.40184537,WHOPAID,0.126295388,0.012720133,0.11494798,-0.050751217,1,paidby_unknown,unknown
16,Class 1,luggage_none,-0.9711495,0.12263675,0.2045212,LUGGAGE,0.4929,-0.478679891,0.060447692,0.100808563,1,luggage_none,none
17,Class 1,luggage_one,0.26916978,-0.22187243,0.93718743,LUGGAGE,0.4929,0.132673869,-0.10936099,0.461939977,1,luggage_one,one
18,Class 1,luggage_several,0.77724934,0.5527158,-0.30064726,LUGGAGE,0.4929,0.383106442,0.27243379,-0.148189128,1,luggage_several,several
19,Class 1,seats_0,-0.8970433,-0.31474474,-0.31024027,SEATS,0.480537772,-0.431063189,-0.151246736,-0.149082168,0,,
20,Class 1,seats_1,0.89103425,-0.16912708,-0.42125297,SEATS,0.480537772,0.428175613,-0.08127195,-0.202427964,0,SM_airline seat,airline seat
21,Class 1,seats_2,0.28969455,0.8134479,0.50436056,SEATS,0.480537772,0.139209174,0.390892442,0.2423643,0,,
22,Class 2,firstclass_0,0.34624037,0.902661,0.25557896,FIRST,0.464344144,0.160774688,0.419145349,0.118676593,0,seatclass_first,first class
23,Class 2,firstclass_1,-0.4424417,0.665732,0.6008712,FIRST,0.464344144,-0.205445212,0.309128756,0.279011023,0,,
24,Class 2,tickettype_annual,0.30213588,0.5810771,-0.75568736,TICKET,1.214838266,0.367046229,0.705914697,-0.918037922,0,,
25,Class 2,tickettype_annulDisc,0.7075857,-0.42753056,-0.56261915,TICKET,1.214838266,0.859602185,-0.519380484,-0.683491273,0,,
26,Class 2,tickettype_freeAfter7,0.5681967,0.28617656,-0.771528,TICKET,1.214838266,0.690267094,0.347658236,-0.937281738,0,,
27,Class 2,tickettype_halfDay,-0.96167964,0.2712343,0.040054116,TICKET,1.214838266,-1.168285227,0.329505807,0.048659273,0,,
28,Class 2,tickettype_oneWay,-0.6461757,0.57760644,-0.49882644,TICKET,1.214838266,-0.784998967,0.701698406,-0.605993448,0,ticket_one-way,one-way
29,Class 2,tickettype_oneWayDisc,-0.5565036,0.6124205,0.56146663,TICKET,1.214838266,-0.676061869,0.743991859,0.682091147,0,,
30,Class 2,tickettype_other,0.07119768,-0.09992415,-0.99244446,TICKET,1.214838266,0.086493666,-0.121391681,-1.205659507,0,,
31,Class 2,tickettype_twoWay,-0.8971277,-0.4077939,-0.16989984,TICKET,1.214838266,-1.08986506,-0.495403635,-0.206400827,0,ticket_two-way,two-way
32,Class 2,tickettype_twoWayDisc,0.93121094,0.0961806,0.35156155,TICKET,1.214838266,1.131270684,0.116843873,0.427090424,0,,
33,Class 2,whopaid_employer,0.23713996,0.67780364,-0.6959504,WHOPAID,0.729083955,0.17289494,0.494175759,-0.50740627,1,paidby_employer,employer
34,Class 2,whopaid_mixed,0.10695047,0.88143945,-0.46002844,WHOPAID,0.729083955,0.077975872,0.642643361,-0.335399355,1,paidby_mixed,mixed
35,Class 2,whopaid_self,0.8737917,0.3219925,0.3644296,WHOPAID,0.729083955,0.637067509,0.234759565,0.265699774,1,paidby_self,self
36,Class 2,whopaid_unknown,-0.6423915,0.7239818,0.2513635,WHOPAID,0.729083955,-0.468357336,0.527843514,0.183265095,1,paidby_unknown,unknown
37,Class 2,luggage_none,0.9152898,-0.19654319,-0.35158974,LUGGAGE,0.421426713,0.385727572,-0.082828551,-0.148169309,1,luggage_none,none
38,Class 2,luggage_one,0.38009837,0.7320398,0.5653698,LUGGAGE,0.421426713,0.160183607,0.308501127,0.238261937,1,luggage_one,one
39,Class 2,luggage_several,0.79531735,-0.38749278,0.4661756,LUGGAGE,0.421426713,0.335167977,-0.163299809,0.196458851,1,luggage_several,several
40,Class 2,seats_0,0.7635443,0.39092776,-0.5139801,SEATS,1.335485935,1.019702674,0.522078525,-0.686413195,0,,
41,Class 2,seats_1,0.023325037,0.8496803,-0.52678204,SEATS,1.335485935,0.031150259,1.13473609,-0.703510005,0,SM_airline seat,airline seat
42,Class 2,seats_2,-0.87069315,-0.23577736,-0.4316277,SEATS,1.335485935,-1.162798456,-0.314877348,-0.576432723,0,,
