pid,chid,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,CAR_TT,CAR_CO,choice,class_1,class_2,PURPOSE,FIRSTCLASS,TICKETTYPE,WHOPAID,LUGGAGE,AGE,MALE,INCOME,seasonalticket,smseats,ORIGIN,DESTINATION
1,1,112,48,120,63,52,20,117,65,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,2,103,48,30,60,49,10,117,84,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,3,130,48,60,67,58,30,117,52,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,4,103,40,30,63,52,20,72,52,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,5,130,36,60,63,42,20,90,84,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,6,112,36,120,60,49,10,90,52,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,7,103,48,120,67,58,10,72,65,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,8,103,36,30,67,43,30,90,65,Train,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
1,9,130,40,60,60,46,10,72,65,SM,0.63605565,0.36394432,work,0,twoWayDisc,self,none,40_to_54,no,50K_to_100K,0,0,BE,ZH
3,10,58,32,30,29,35,10,105,40,SM,0.5079552,0.49204475,work,0,twoWayDisc,self,one,25_to_39,yes,50K_to_100K,0,0,FR,GE
3,11,58,29,30,25,38,20,136,50,SM,0.5079552,0.49204475,work,0,twoWayDisc,self,one,25_to_39,yes,50K_to_100K,0,0,FR,GE
3,12,58,32,120,27,40,10,136,65,SM,0.5079552,0.49204475,work,0,twoWayDisc,self,one,25_to_39,yes,50K_to_100K,0,1,FR,GE
