number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
166,0.6509339809417725,2025-10-26 11:43:33.178320,2025-10-26 11:43:38.585830,5,shared,0.012271756883496115,128,64,128.0,,3,0.22166730812168478,1200,20,0.0001562163099665771,0.0021572786842622067,0.2724553346633911,0.40749430656433105,0.7245575189590454,COMPLETE
156,0.6515793204307556,2025-10-26 11:42:41.765800,2025-10-26 11:42:47.798857,6,shared,0.00964553044955644,128,128,128.0,,3,0.12455910660498107,1500,20,0.00033693241561858747,0.0006942652238533319,0.3322427570819855,0.40690696239471436,0.7262167930603027,COMPLETE
112,0.65577632188797,2025-10-26 11:37:26.110808,2025-10-26 11:37:32.690188,6,shared,0.017027350823920644,256,64,64.0,128.0,4,0.14583660088156541,300,40,0.0008483853030560751,0.000717732462581328,0.518648087978363,0.40308666229248047,0.7284291982650757,COMPLETE
195,0.6575195789337158,2025-10-26 11:46:06.697349,2025-10-26 11:46:10.919111,4,shared,0.015020413621974326,128,64,128.0,,3,0.2121135218789806,1200,20,0.0003995208466732365,0.0011593545850698116,0.45936840772628784,0.40149986743927,0.707411527633667,COMPLETE
181,0.6611572504043579,2025-10-26 11:44:50.832814,2025-10-26 11:44:57.039796,6,shared,0.013218473373572247,128,64,128.0,,3,0.20946241816680072,1200,20,0.0003742031184377087,0.001785483223338936,0.4784903824329376,0.3981887102127075,0.7206858396530151,COMPLETE
198,0.6656286120414734,2025-10-26 11:46:20.456097,2025-10-26 11:46:24.844175,4,shared,0.012646268628035771,128,64,128.0,,3,0.2942754748036714,1200,20,0.00039218644261820813,0.0010232775550316276,0.47012659907341003,0.39411866664886475,0.7168141603469849,COMPLETE
187,0.6661592721939087,2025-10-26 11:45:23.912416,2025-10-26 11:45:28.236450,4,shared,0.012005563527421909,128,64,128.0,,3,0.21064338853692993,1200,20,0.00014438576311368175,0.001186268004360277,0.33810243010520935,0.39363569021224976,0.6991150379180908,COMPLETE
169,0.6714261770248413,2025-10-26 11:43:48.498488,2025-10-26 11:43:54.189602,5,shared,0.01116374207501641,128,64,128.0,,3,0.204177144966496,1200,20,0.00014869655516649394,0.0019789891257209744,0.37631914019584656,0.38884156942367554,0.7063053250312805,COMPLETE
141,0.6766316294670105,2025-10-26 11:40:45.058598,2025-10-26 11:40:50.835145,5,shared,0.016748785240540614,256,128,64.0,128.0,4,0.07337951044845245,1500,40,0.0007963029420081048,0.00012056028909027061,0.3345997929573059,0.38410329818725586,0.7240044474601746,COMPLETE
174,0.676636815071106,2025-10-26 11:44:15.049424,2025-10-26 11:44:19.569036,4,shared,0.009909244573995106,128,64,128.0,,3,0.21454403170623265,1200,20,0.00010616216105169796,0.0019449861188447302,0.13288860023021698,0.3840986490249634,0.6946902871131897,COMPLETE
50,0.6770813465118408,2025-10-26 11:31:18.645191,2025-10-26 11:31:23.812696,5,shared,0.030959244306864978,128,64,,,2,0.1545443219911551,300,40,0.0001233983161211615,0.0011290139370408764,0.48959481716156006,0.38369399309158325,0.7129424810409546,COMPLETE
66,0.6816011071205139,2025-10-26 11:32:48.204132,2025-10-26 11:32:53.912252,5,shared,0.014193782115474993,128,128,256.0,256.0,4,0.07334802284064924,1200,20,0.0012032667637267803,0.00019239132943669337,0.3650740683078766,0.37957990169525146,0.7002212405204773,COMPLETE
162,0.6821473240852356,2025-10-26 11:43:12.772736,2025-10-26 11:43:17.874425,5,shared,0.013104549101788343,128,64,128.0,,3,0.22734842124312604,1200,20,0.00015645399807212796,0.0005649879306914354,0.40577617287635803,0.37908273935317993,0.7090708017349243,COMPLETE
147,0.6822048425674438,2025-10-26 11:41:26.307997,2025-10-26 11:41:32.753476,6,shared,0.013972943046812103,128,64,128.0,,3,0.3065210005461249,300,40,0.0011564818804284636,0.0010464558630068957,0.22626398503780365,0.37903034687042236,0.7007743120193481,COMPLETE
9,0.6841309070587158,2025-10-26 11:26:56.295908,2025-10-26 11:27:02.851901,6,shared,0.01767200971331136,128,128,64.0,64.0,4,0.07414359566475817,1500,40,0.0017258923184514734,0.00046045667042227584,0.4741961359977722,0.3772771954536438,0.7151548862457275,COMPLETE
177,0.6846227645874023,2025-10-26 11:44:29.386420,2025-10-26 11:44:34.508273,5,shared,0.010335515987582585,128,64,128.0,,3,0.21751468421304393,1200,20,0.00010409775227795796,0.0015594142193014525,0.40241241455078125,0.37682944536209106,0.716261088848114,COMPLETE
159,0.6846282482147217,2025-10-26 11:42:58.308489,2025-10-26 11:43:03.305607,4,shared,0.011063424407446048,128,64,128.0,,3,0.28998697582917254,1200,20,0.00033735737960051946,0.0008340400810161096,0.44511157274246216,0.3768244981765747,0.7079645991325378,COMPLETE
165,0.685824453830719,2025-10-26 11:43:28.259581,2025-10-26 11:43:33.145781,4,shared,0.013830267236131523,128,64,128.0,,3,0.23212975862748667,1200,20,0.00015097492578552906,0.0018086120888996758,0.30419430136680603,0.3757357597351074,0.7217920422554016,COMPLETE
49,0.6924992203712463,2025-10-26 11:31:10.774684,2025-10-26 11:31:18.607357,7,shared,0.013312489579400686,128,64,128.0,,3,0.09580081578418619,1500,40,0.00015705893782776712,0.001103974793073751,0.47523072361946106,0.36966007947921753,0.7040929198265076,COMPLETE
190,0.6939942240715027,2025-10-26 11:45:39.242544,2025-10-26 11:45:44.622808,5,shared,0.010843348084823321,128,64,128.0,,3,0.3138578243161451,1200,20,0.0003799908315566412,0.0011426799474782581,0.6698317527770996,0.3682991862297058,0.7240044474601746,COMPLETE
