chid,pid
2,1
3,1
4,1
5,1
6,1
7,1
9,1
10,3
11,3
12,3
14,3
16,3
17,3
18,3
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,7
38,7
39,7
40,7
41,7
43,7
44,7
45,7
46,8
47,8
48,8
49,8
50,8
51,8
52,8
54,8
55,9
57,9
58,9
60,9
61,9
62,9
63,9
65,14
66,14
67,14
68,14
69,14
70,14
71,14
72,14
73,16
74,16
76,16
77,16
80,16
82,17
83,17
84,17
88,17
89,17
90,17
91,18
92,18
93,18
94,18
95,18
96,18
98,18
99,18
101,19
102,19
103,19
104,19
106,19
107,19
108,19
109,20
110,20
111,20
112,20
114,20
117,20
118,22
119,22
120,22
121,22
122,22
123,22
125,22
126,22
127,23
129,23
130,23
131,23
132,23
133,23
134,23
136,25
137,25
138,25
139,25
143,25
144,25
145,26
148,26
149,26
150,26
152,26
153,26
154,29
156,29
157,29
159,29
160,29
161,29
162,29
164,30
165,30
166,30
167,30
168,30
169,30
170,30
173,31
174,31
175,31
176,31
177,31
178,31
180,31
181,37
185,37
186,37
187,37
188,37
189,37
190,41
191,41
192,41
194,41
195,41
196,41
197,41
198,41
199,42
200,42
201,42
203,42
204,42
205,42
206,42
207,42
209,44
210,44
212,44
213,44
214,44
215,44
216,44
217,45
218,45
219,45
221,45
223,45
224,45
226,47
227,47
228,47
229,47
230,47
231,47
232,47
233,47
235,48
236,48
238,48
240,48
241,48
243,48
244,49
245,49
246,49
249,49
250,49
251,49
256,50
257,50
258,50
262,51
263,51
264,51
266,51
267,51
268,51
269,51
271,53
274,53
275,53
276,53
277,53
278,53
283,56
284,56
285,56
287,56
288,56
289,57
290,57
291,57
292,57
294,57
295,57
296,57
297,57
298,58
299,58
301,58
303,58
304,58
305,58
307,59
308,59
309,59
311,59
313,59
314,59
315,59
316,60
317,60
318,60
319,60
320,60
321,60
322,60
323,60
324,60
325,61
326,61
327,61
328,61
330,61
331,61
332,61
333,61
334,62
335,62
336,62
337,62
338,62
339,62
340,62
342,62
343,63
344,63
345,63
346,63
347,63
348,63
349,63
350,63
351,63
352,64
353,64
354,64
355,64
356,64
357,64
358,64
359,64
362,65
363,65
364,65
365,65
366,65
367,65
370,66
372,66
373,66
374,66
375,66
376,66
380,67
381,67
382,67
383,67
385,67
386,67
387,67
388,68
389,68
390,68
391,68
392,68
393,68
394,68
395,68
396,68
397,69
398,69
399,69
400,69
401,69
402,69
403,69
406,70
407,70
408,70
409,70
