number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
36,0.569334567,08:06.0,08:20.7,14,class-specific,0.008535217,256,256,NA,NA,2,0.220510121,1500,20,0.001295555,0.003607863,0.481769323,0.75,COMPLETE,1,3,239,0.489229113,0.481769323
30,0.573117971,10:00.0,10:10.7,10,class-specific,0.010543587,256,64,128,NA,3,0.10092162,900,20,0.006035769,0.000254471,0.478325546,0.759402633,COMPLETE,1,4,91,0.453893632,0.478325546
38,0.576463223,47:33.6,47:48.6,14,class-specific,0.020568425,256,128,NA,NA,2,0.185087459,900,10,0.000423558,0.000280329,0.475280523,0.761061966,COMPLETE,1,4,763,0.444776446,0.475280523
48,0.578559935,22:21.1,22:42.0,20,class-specific,0.020360075,256,128,NA,NA,2,0.040637711,1500,10,0.000159204,0.000623385,0.473372042,0.754424751,COMPLETE,1,4,469,0.597499073,0.473372042
27,0.579211831,41:06.5,41:14.1,7,class-specific,0.007093876,128,256,256,NA,3,0.082213494,1500,20,0.002828961,0.00403087,0.472778678,0.754977882,COMPLETE,1,4,1515,0.487505198,0.472778678
34,0.583487988,19:24.7,19:45.5,20,class-specific,0.008406708,128,64,NA,NA,2,0.161255515,1200,10,0.008441237,0.001757589,0.468886316,0.752212405,COMPLETE,1,4,356,0.653214157,0.468886316
41,0.584281981,15:07.8,15:44.3,36,class-specific,0.00822259,128,256,NA,NA,2,0.092736389,1500,10,0.000100597,0.000118855,0.46816355,0.758849561,COMPLETE,1,4,442,0.517627478,0.46816355
33,0.584733725,46:24.6,46:56.3,31,class-specific,0.00977033,128,128,NA,NA,2,0.123530313,1500,10,0.000440886,0.001674475,0.467752397,0.756637156,COMPLETE,1,4,280,0.419650733,0.467752397
35,0.586188853,52:36.1,52:43.1,6,class-specific,0.011119483,256,64,NA,NA,2,0.168559343,600,40,0.000710669,0.00020143,0.466427922,0.756084085,COMPLETE,1,4,1445,0.643495321,0.466427922
27,0.586586595,01:45.0,01:49.2,4,class-specific,0.008826937,128,128,64,NA,3,0.146371495,1500,10,0.0002982,0.004452981,0.466065884,0.751659274,COMPLETE,1,3,36,0.521778107,0.466065884
